selling_price,km_driven,transmission,owner,mileage,engine,max_power,seats,age,seller_type_Individual,seller_type_Trustmark Dealer,fuel_Diesel,fuel_LPG,fuel_Petrol,brand_Ashok,brand_Audi,brand_BMW,brand_Chevrolet,brand_Daewoo,brand_Datsun,brand_Fiat,brand_Force,brand_Ford,brand_Honda,brand_Hyundai,brand_Isuzu,brand_Jaguar,brand_Jeep,brand_Kia,brand_Land,brand_Lexus,brand_MG,brand_Mahindra,brand_Maruti,brand_Mercedes-Benz,brand_Mitsubishi,brand_Nissan,brand_Opel,brand_Renault,brand_Skoda,brand_Tata,brand_Toyota,brand_Volkswagen,brand_Volvo
650000,-0.6915764978670393,0,0,0.48038867990925843,-0.5037733961820554,-0.20045695625324245,5.0,-1.3036618325724867,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
540000,-0.5159244406058733,0,0,0.6316326460566791,0.13261106172725076,0.5994459460360764,5.0,-0.5273579304332936,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
630000,1.1527701033752047,0,0,1.413059804485018,0.13261106172725076,0.28776887503183085,5.0,-0.2685899630535626,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448000,-0.6915764978670393,1,0,0.2560434634572523,-0.9245059779892046,-0.7075818519751571,5.0,-1.0448938651927555,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
500000,0.18668378843879116,0,0,0.5459277319064743,0.13261106172725076,0.603383251127085,5.0,-0.7861258978130246,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
745000,0.011031731177625048,0,0,1.211401182955124,-0.395947458130977,-0.03036537632166835,5.0,-0.5273579304332936,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1025000,-1.045515393248289,1,0,1.211401182955124,-0.395947458130977,-0.03036537632166835,5.0,-1.3036618325724867,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
235000,-0.16462032608354105,0,1,0.21823247192039671,-0.5037733961820554,-0.3327504073111329,5.0,0.7664819064653615,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630000,0.011031731177625048,0,0,1.4382671321762541,-0.395947458130977,-0.4870927668786724,5.0,-0.5273579304332936,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
450000,0.8892920174834555,0,1,0.8584985952778093,-0.395947458130977,-0.4870927668786724,5.0,0.24894597170589947,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
450000,0.8892920174834555,0,1,-0.875765549879277,-0.1316681982018631,0.1334265154642918,7.0,0.5077139390856305,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
450000,1.767552303789286,0,0,0.26360566176462275,0.34403446967054185,0.44526107867217707,5.0,0.24894597170589947,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1200000,1.2405961320057877,0,0,-1.6395475789237497,2.23838820484243,0.3507657564879693,8.0,-0.5273579304332936,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
610000,0.36233584569995725,0,0,0.8257290692792018,0.13261106172725076,0.28745389062455046,5.0,-0.2685899630535626,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500000,-0.6915764978670393,1,1,-0.9539082657221106,1.1897281014437062,3.1352279168492907,5.0,-0.5273579304332936,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484999,-1.0428806123893715,0,0,0.9089132506602834,-0.9245059779892046,-0.7063219143460341,5.0,-0.7861258978130246,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
275000,-0.35783758907082375,0,0,-0.11954571914217535,-0.5016591621026225,-0.7060069299387537,5.0,-0.5273579304332936,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315000,-0.6564460864148062,0,0,1.3122304937200704,-1.3515812620346528,-1.3281011343181213,5.0,-0.5273579304332936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
275000,-0.5510548520581064,0,0,1.3122304937200704,-1.3515812620346528,-1.3281011343181213,5.0,-0.5273579304332936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
290000,-0.7267069093192726,0,0,0.07959216961859455,-0.7384533789991086,-0.6745084892106845,5.0,0.5077139390856305,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,-0.6564460864148062,0,0,-1.3849535692422588,-1.3515812620346528,-1.715531955273373,5.0,-0.7861258978130246,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
225000,-0.44566361770140683,0,0,1.6903404090886214,-0.9245059779892046,-0.9847681303821664,5.0,1.0252498738450926,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
455000,-0.48079402915364006,0,0,-0.762332575268712,-0.5016591621026225,-0.4870927668786724,5.0,-0.2685899630535626,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
351000,-0.4280984119752902,0,1,0.07959216961859455,-0.7384533789991086,-0.6745084892106845,5.0,-0.2685899630535626,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535000,-1.0077502009371384,0,1,-1.122797361253397,0.34403446967054185,0.44526107867217707,5.0,0.5077139390856305,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
175000,-0.2436637518510658,0,0,-0.32624580621031657,-0.9245059779892046,-0.7044320079023504,5.0,1.2840178412248235,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
525000,-0.13827251749436614,0,0,-0.2506238231366062,-0.5037733961820554,-0.20833156643525977,5.0,0.24894597170589947,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600000,1.4162481892669538,0,0,1.7886489870844446,-0.395947458130977,-0.4870927668786724,5.0,-0.5273579304332936,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
565000,0.046162142629858266,1,0,-0.09937985698918551,-0.5037733961820554,-0.23510524105411845,5.0,-0.5273579304332936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
